Date,Open,High,Low,Close,Adj Close,Volume
2024-05-14,109555.0,109580.0,109555.0,109575.0,109575.0,7151
2024-05-16,109580.0,109625.0,109580.0,109625.0,109625.0,23370
2024-05-17,109620.0,109640.0,109620.0,109625.0,109625.0,56786
2024-05-20,109635.0,109650.0,109630.0,109640.0,109640.0,11112
2024-05-21,109640.0,109655.0,109640.0,109640.0,109640.0,14783
2024-05-22,109645.0,109665.0,109645.0,109665.0,109665.0,29282
2024-05-23,109640.0,109695.0,109640.0,109690.0,109690.0,6941
2024-05-24,109690.0,109705.0,109685.0,109700.0,109700.0,80547
2024-05-27,109695.0,109710.0,109695.0,109705.0,109705.0,7600
2024-05-28,109720.0,109725.0,109705.0,109720.0,109720.0,20970
2024-05-29,109720.0,109740.0,109720.0,109720.0,109720.0,51048
2024-05-30,109725.0,109760.0,109725.0,109760.0,109760.0,35332
2024-05-31,109735.0,109775.0,109735.0,109755.0,109755.0,7950
2024-06-03,109755.0,109790.0,109755.0,109775.0,109775.0,13571
2024-06-04,109795.0,109815.0,109790.0,109810.0,109810.0,17937
2024-06-05,109795.0,109845.0,109795.0,109845.0,109845.0,12339
2024-06-07,109845.0,109865.0,109835.0,109855.0,109855.0,21790
2024-06-10,109875.0,109875.0,109855.0,109860.0,109860.0,9184
2024-06-11,109855.0,109885.0,109850.0,109870.0,109870.0,5551
2024-06-12,109880.0,109895.0,109880.0,109895.0,109895.0,5552
2024-06-13,109880.0,109920.0,109880.0,109915.0,109915.0,12079
2024-06-14,109900.0,109935.0,109900.0,109925.0,109925.0,14167
2024-06-17,109940.0,109960.0,109935.0,109940.0,109940.0,16807
2024-06-18,109955.0,109975.0,109955.0,109970.0,109970.0,13710
2024-06-19,109970.0,109985.0,109970.0,109980.0,109980.0,8073
2024-06-20,109980.0,110015.0,109970.0,110000.0,110000.0,9905
2024-06-21,109990.0,110020.0,109990.0,110015.0,110015.0,10607
2024-06-24,110040.0,110040.0,110025.0,110040.0,110040.0,1941
2024-06-25,110030.0,110050.0,110025.0,110050.0,110050.0,4247
2024-06-26,110055.0,110060.0,110040.0,110045.0,110045.0,15889
2024-06-27,110065.0,110080.0,110065.0,110080.0,110080.0,4869
2024-06-28,110060.0,110095.0,110060.0,110080.0,110080.0,8395
2024-07-01,109810.0,110120.0,109810.0,110115.0,110115.0,6558
2024-07-02,109200.0,110145.0,109200.0,110140.0,110140.0,6723
2024-07-03,110140.0,110155.0,110140.0,110155.0,110155.0,7132
2024-07-04,110165.0,110180.0,110165.0,110165.0,110165.0,7555
2024-07-05,110190.0,110205.0,110190.0,110205.0,110205.0,7053
2024-07-08,110210.0,110225.0,110210.0,110220.0,110220.0,3760
2024-07-09,110230.0,110250.0,110230.0,110230.0,110230.0,12393
2024-07-10,110230.0,110255.0,110230.0,110235.0,110235.0,17840
2024-07-11,110245.0,110275.0,110245.0,110260.0,110260.0,28933
2024-07-12,110240.0,110270.0,110240.0,110260.0,110260.0,23674
2024-07-15,110275.0,110295.0,110275.0,110290.0,110290.0,16874
2024-07-16,110300.0,110305.0,110290.0,110290.0,110290.0,58635
2024-07-17,110305.0,110320.0,110300.0,110310.0,110310.0,60237
2024-07-18,110310.0,110340.0,110310.0,110335.0,110335.0,109430
2024-07-19,110315.0,110340.0,110315.0,110340.0,110340.0,11459
2024-07-22,110350.0,110350.0,110340.0,110345.0,110345.0,9938
